Description,Name,District
International Airport,Tribhuvan International Airport,Kathmandu
Hub Airports,Biratnagar Airport,Morang
Hub Airports,Gautam Buddha Airport,Rupandehi
Hub Airports,Nepalgunj Airport,Banke
Hub Airports,Pokhara Airport,Kaski
High Traffic Regular Domestic Airports,Bharatpur Airport,Chitwan
High Traffic Regular Domestic Airports,Chandragadhi Airport,Jhapa
High Traffic Regular Domestic Airports,Dhangadhi Airport,Kailali
High Traffic Regular Domestic Airports,Janakpur Airport,Dhanusha
High Traffic Regular Domestic Airports,Simara Airport,Bara
High Traffic Regular Domestic Airports,Surkhet Airport,Surkhet
High Traffic Regular Domestic Airports,Tumlingtar Airport,Sankhuwasabha
Regular Domestic Airports,Bajura Airport,Bajura
Regular Domestic Airports,Bhojpur Airport,Bhojpur
Regular Domestic Airports,Dolpa Airport,Dolpa
Regular Domestic Airports,Jomsom Airport,Mustang
Regular Domestic Airports,Jumla Airport,Jumla
Regular Domestic Airports,Khanidanda (Manamaya Rai) Airport,Khotang
Regular Domestic Airports,Phaplu Airport,Solukhumbu
Regular Domestic Airports,Rara Airport,Mugu
Regular Domestic Airports,Simikot Airport,Humla
Regular Domestic Airports,Tenzing Hillary (Lukla) Airport,Solukhumbu
Non-Scheduled/Chartered Domestic Airports,Lamidanda Airport,Khotang
Non-Scheduled/Chartered Domestic Airports,Ramechhap Airport,Ramechhap
Non-Scheduled/Chartered Domestic Airports,RukumChaurjahari Airport,Western Rukum
Non-Scheduled/Chartered Domestic Airports,Rukum Salle Airport,Eastern Rukum
Non-Scheduled/Chartered Domestic Airports,Rumjatar Airport,Okhaldhunga
Non-Scheduled/Chartered Domestic Airports,Taplejung Airport,Taplejung
Non-Scheduled/Chartered Domestic Airports,Thamkharka Airport,Khotang
Non-Operational Airports,Baglung (Balewa) Airport,Baglung
Non-Operational Airports,Baitadi Airport,Baitadi
Non-Operational Airports,Bajhang Airport,Bajhang
Non-Operational Airports,Dang (Tarigaun) Airport,Dang
Non-Operational Airports,Darchula Airport,Darchula
Non-Operational Airports,Dhorpatan Airport,Baglung
Non-Operational Airports,Doti Airport,Doti
Non-Operational Airports,Jiri Airport,Dolakha
Non-Operational Airports,Kangeldanda Airport,Khotang
Non-Operational Airports,Langtang Airport,Rasuwa
Non-Operational Airports,Mahendranagar Airport,Kanchanpur
Non-Operational Airports,Manang (Humde) Airport,Manang
Non-Operational Airports,Masinechaur Airport,Dolpa
Non-Operational Airports,Meghauli Airport,Chitwan
Non-Operational Airports,Palungtar Airport,Gorkha
Non-Operational Airports,Rajbiraj Airport,Saptari
Non-Operational Airports,Rolpa Airport,Rolpa
Non-Operational Airports,Sanfebagar Airport,Accham
Non-Operational Airports,Syangboche Airport,Solukhumbu
Non-Operational Airports,Tikapur Airport,Kailali
Airports Under Construction,Arghakhanchi Airport,Arghakhanchi
Airports Under Construction,Gulmi Airport,Gulmi
Airports Under Construction,Ilam (Sukilumba) Airport,Ilam
Airports Under Construction,Kalikot Airport,Kalikot
Airports Under Construction,Kamal Bazar Airport,Accham
Airports Under Construction,KhijiChandeshwori Airport,Okhaldhunga
Airports Under Construction,Lamjung Airport,Lamjung
